URL,Performance,SEO,Accessibility,LCP,FCP,TBT,SpeedIndex,CLS,Desktop,Mobile,Performance Average (Desktop),Performance Average (Mobile)
"https://www.nvent.com/en-in/caddy",56.00%,92.00%,92.00%,16.9 s,6.2 s,210 ms,6.2 s,0.045,No,Yes,85.50%,60.75%
"https://www.nvent.com/en-us/",97.00%,92.00%,90.00%,0.9 s,0.7 s,0 ms,1.6 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",98.00%,92.00%,90.00%,0.7 s,0.7 s,0 ms,1.3 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",99.00%,92.00%,90.00%,0.8 s,0.7 s,0 ms,1.1 s,0,Yes,No,88.83%,55.89%
"https://www.nvent.com/en-us/",60.00%,92.00%,90.00%,16.9 s,2.2 s,380 ms,5.0 s,0,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",91.00%,92.00%,90.00%,2.6 s,1.7 s,220 ms,3.7 s,0,No,Yes,88.83%,55.89%
"https://www.nvent.com/en-us/",51.00%,92.00%,90.00%,17.1 s,5.5 s,400 ms,5.9 s,0.001,No,Yes,88.83%,55.89%
"https://www.qed42.com/",75.00%,100.00%,90.00%,2.0 s,1.9 s,0 ms,3.7 s,0.023,Yes,No,80.42%,68.17%
"https://www.qed42.com/",86.00%,100.00%,90.00%,1.3 s,1.3 s,0 ms,3.2 s,0.01,Yes,No,80.42%,68.17%
"https://www.qed42.com/",86.00%,100.00%,90.00%,1.3 s,1.3 s,0 ms,2.9 s,0.01,Yes,No,80.42%,68.17%
"https://www.qed42.com/",73.00%,100.00%,93.00%,3.8 s,3.8 s,160 ms,6.9 s,0.002,No,Yes,80.42%,68.17%
"https://www.qed42.com/",56.00%,100.00%,93.00%,12.7 s,7.1 s,90 ms,8.8 s,0.004,No,Yes,80.42%,68.17%
"https://www.qed42.com/",60.00%,100.00%,93.00%,6.6 s,5.6 s,100 ms,7.2 s,0,No,Yes,80.42%,68.17%
"https://www.apple.com/",69.00%,92.00%,93.00%,3.5 s,2.0 s,0 ms,2.2 s,0,Yes,No,67.78%,55.00%
